target_id	length	eff_length	est_counts	tpm
NC_033618.1	1347	1147.99	0	0
NC_028989.1	2742	2542.99	0	0
NC_023845.1	5016	4816.99	0	0
NC_013231.1	1368	1168.99	0	0
NC_002022.1	2233	2033.99	0	0
NC_033553.1	15446	15247	0	0
NC_033555.1	1364	1164.99	0	0
NC_033554.1	2738	2538.99	0	0
NC_033423.1	208501	208302	0	0
NC_033464.1	164540	164341	0	0
NC_033496.1	1060	860.994	0	0
NC_033495.1	1131	931.994	0	0
NC_033494.1	1967	1767.99	0	0
NC_033493.1	3789	3589.99	0	0
NC_033492.1	7615	7415.99	0	0
NC_033491.1	3735	3535.99	0	0
NC_033490.1	5889	5689.99	0	0
NC_033489.1	2715	2515.99	0	0
NC_033488.1	1556	1356.99	0	0
NC_033487.1	3317	3117.99	0	0
NC_033486.1	1672	1472.99	0	0
NC_033485.1	1698	1498.99	0	0
NC_033484.1	1601	1401.99	0	0
NC_033483.1	1606	1406.99	0	0
NC_033482.1	3140	2940.99	0	0
NC_033481.1	2246	2046.99	0	0
NC_033480.1	2864	2664.99	0	0
NC_033479.1	1759	1559.99	0	0
NC_033478.1	1665	1465.99	0	0
NC_033477.1	2184	1984.99	0	0
NC_033476.1	2397	2197.99	0	0
NC_033475.1	9939	9739.99	0	0
NC_033474.1	3042	2842.99	0	0
NC_033473.1	12473	12274	0	0
NC_033472.1	2976	2776.99	0	0
NC_033471.1	2714	2514.99	0	0
NC_033470.1	3491	3291.99	0	0
NC_033469.1	10310	10111	0	0
NC_033468.1	4605	4405.99	0	0
NC_033467.1	7404	7204.99	0	0
NC_033466.1	6718	6518.99	0	0
NC_033465.1	4571	4371.99	0	0
NC_033463.1	4975	4775.99	0	0
NC_033462.1	9096	8896.99	0	0
NC_033461.1	16121	15922	0	0
NC_033460.1	9952	9752.99	0	0
NC_033459.1	12965	12766	0	0
NC_033458.1	11226	11027	0	0
NC_033457.1	15441	15242	0	0
NC_033456.1	8999	8799.99	0	0
NC_033455.1	9733	9533.99	0	0
NC_033283.1	1625	1425.99	0	0
NC_033282.1	5741	5541.99	0	0
NC_032840.1	9997	9797.99	0	0
NC_032804.1	10140	9940.99	0	0
NC_031465.1	360610	360411	0	0
NC_003092.2	15717	15518	0	0
NC_033416.1	11748	11549	0	0
NC_033415.1	8566	8366.99	0	0
NC_033454.1	1517	1317.99	0	0
NC_033453.1	1592	1392.99	0	0
NC_033452.1	2645	2445.99	0	0
NC_033449.1	1528	1328.99	0	0
